car_prices_in_rupee,kms_driven,transmission,ownership,manufacture,Seats,fuel_type_Cng,fuel_type_Diesel,fuel_type_Electric,fuel_type_Lpg,fuel_type_Petrol
1.9,31212,0,1,2008,5,0,0,0,0,1
6.58,31837,0,2,2015,5,0,1,0,0,0
25.8,39000,1,1,2020,5,0,1,0,0,0
1.2,78000,0,2,2006,5,0,0,0,0,1
11.85,31000,1,1,2020,5,0,0,0,0,1
3.88,115986,0,2,2013,5,0,1,0,0,0
3.92,73029,0,2,2014,5,0,0,0,0,1
6.35,25000,1,2,2013,5,0,0,0,0,1
2.44,74809,0,1,2013,5,0,1,0,0,0
2.72,33560,0,1,2011,5,0,0,0,0,1
2.86,40821,1,1,2011,5,0,0,0,0,1
15.75,58000,1,2,2014,5,0,1,0,0,0
1.63,75991,0,2,2010,5,0,0,0,0,1
1.78,136432,0,2,2008,5,0,0,0,0,1
17.25,83000,1,2,2016,8,0,1,0,0,0
1.11,51915,0,1,2008,5,0,0,0,0,1
5.5,63100,1,2,2014,5,0,0,0,0,1
3.25,46833,0,1,2012,5,0,0,0,0,1
5.25,78744,0,2,2012,5,0,1,0,0,0
4.9,79542,0,2,2014,5,0,1,0,0,0
4.6,96000,1,2,2010,5,0,0,0,0,1
13.25,13000,0,1,2021,5,0,0,0,0,1
3.8,44521,0,1,2010,5,0,1,0,0,0
5.47,29927,1,2,2017,5,0,0,0,0,1
19.75,48019,1,1,2017,5,0,0,0,0,1
6.75,27311,0,2,2017,5,0,0,0,0,1
20.5,14000,0,1,2021,7,0,1,0,0,0
3.15,64640,0,1,2009,5,0,0,0,0,1
4.99,96505,0,2,2012,5,0,0,0,0,1
9.65,3500,0,1,2022,5,0,0,0,0,1
8.55,42374,0,1,2018,5,0,0,0,0,1
7.1,45879,0,1,2016,5,0,1,0,0,0
5.72,120000,0,2,2016,5,0,1,0,0,0
4.7,89680,0,2,2015,5,0,0,0,0,1
12.75,99000,1,3,2012,5,0,1,0,0,0
1.1,90000,0,3,1998,5,0,0,0,0,1
